siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
YC3172    ,第七种味道,中国,冯 亚平,NULL,2014-06-17 10:30:00.000,上海影城,三厅
YC3223    ,火山边缘之恋,意大利,罗伯托·罗西里尼,英格丽·褒曼，马里奥·维塔尔,2014-06-22 13:30:00.000,上海影城,三厅
YC3222    ,世界上最强的男人,加拿大,丹尼尔·罗比,安托万·贝特朗，纪尧姆·西尔，吉尔·贝罗斯,2014-06-22 10:30:00.000,上海影城,三厅
YC3215    ,劳伦斯与霍洛曼,加拿大,马修·科沃尔彻克,本·科腾，丹尼尔·阿诺德，凯瑟琳·伊莎贝拉,2014-06-21 18:30:00.000,上海影城,三厅
YC3213    ,广岛之恋,法国,阿伦·雷乃,埃玛妞·丽娃，冈田英次,2014-06-21 13:30:00.000,上海影城,三厅
YC3204    ,我的美国舅舅,法国,阿伦·雷乃,杰拉尔·德帕迪约，妮可·加西亚,2014-06-20 15:45:00.000,上海影城,三厅
YC3164    ,说说美丽世界,中国,刘一君,成泰燊，朱佳妮，刘惠仪,2014-06-16 15:45:00.000,上海影城,三厅
YC3186    ,恶童日记,匈牙利,雅诺丝·萨扎兹,皮若斯卡·莫尔纳，安德拉斯·基也曼特，拉斯佐罗·基也曼特,2014-06-18 20:45:00.000,上海影城,三厅
YC3185    ,飞机总动员,美国,克雷.豪尔,戴恩·库克，卡洛斯·阿拉斯拉奇，斯泰西·基齐,2014-06-18 18:30:00.000,上海影城,三厅
YC3184    ,美丽笨女人,中国,潘 婕,,2014-06-18 15:45:00.000,上海影城,三厅
YC3175    ,十分钟,,李勇胜,白钟焕,2014-06-17 18:30:00.000,上海影城,三厅
YC3173    ,青春真好,中国,孟 艳,,2014-06-17 13:30:00.000,上海影城,三厅
YC3212    ,太阳照常升起,中国,姜文,姜文，周韵，房祖名,2014-06-21 10:30:00.000,上海影城,三厅
YC3216    ,墙后低语,德国,格热戈日·穆斯卡拉,文森特·戴茨基，卡特琳娜·海耶,2014-06-21 20:45:00.000,上海影城,三厅
YC3214    ,去年在马里昂巴德,法国,阿伦·雷乃,德菲因·塞里格， 吉奥吉欧·艾伯塔基,2014-06-21 15:45:00.000,上海影城,三厅
YC3205    ,回路人生,加拿大,梅林·德维塞维克,大卫·里奇蒙德·派克，理查德·哈蒙,2014-06-20 18:30:00.000,上海影城,三厅
YC3193    ,夜莺,中国,菲利普·弥勒,李保田，李小冉，秦昊,2014-06-19 13:30:00.000,上海影城,三厅
YC3166    ,狼,荷兰,吉姆·塔胡,马尔万·肯扎里，雷蒙德·提哈瑞，娜瑟丁·德查,2014-06-16 20:45:00.000,上海影城,三厅
YC2225    ,绝命四人组,英国,帕斯卡尔·舒梅,皮尔斯·布鲁斯南，托妮·克莱特，亚伦·保尔,2014-06-22 18:30:00.000,上海影城,二厅
YC2224    ,观相,韩国,韩在林,宋康昊，李政宰,2014-06-22 15:45:00.000,上海影城,二厅
YC2146    ,姐妹情深,德国,多米尼克·格拉夫,汉瑞特·弗丽斯，弗洛里安·泰特，汉娜·斯普朗,2014-06-14 20:45:00.000,上海影城,二厅
YC2215    ,玩命毒师,意大利,西德尼·西比利亚,艾多尔多·里奥，瓦莱丽亚·索拉里诺，瓦莱里奥·阿普雷亚,2014-06-21 18:30:00.000,上海影城,二厅
YC2205    ,前目的地,澳大利亚,迈克尔·斯派瑞 ，彼得·斯派瑞,伊桑·霍克，诺亚·泰勒，克里斯托弗·卡比斯派瑞,2014-06-20 18:30:00.000,上海影城,二厅
YC2166    ,祖鲁,法国,杰罗姆·塞勒,奥兰多·布鲁姆，福里斯特·惠特克，坦尼亚·范·格兰,2014-06-16 20:45:00.000,上海影城,二厅
YC2222    ,哆啦A梦：新·大雄的大魔境～扁扁与5人之探险队～（HDCAM),日本,八锹新之助,水田山葵 ，大原めぐみ ，嘉数由美 ，木村昴 ，关智一 ， 千秋,2014-06-22 10:30:00.000,上海影城,二厅
YC2214    ,地狱病院,美国,布拉德·安德森,凯特·贝金赛尔，吉姆·斯特吉斯,2014-06-21 15:45:00.000,上海影城,二厅
YC2213    ,标靶,韩国,尹鸿承,柳承龙，李真旭,2014-06-21 13:30:00.000,上海影城,二厅
YC2212    ,纯净柔软的心,日本,新城毅彦,长泽雅美，冈田将生，中村苍,2014-06-21 10:30:00.000,上海影城,二厅
YC2195    ,广告风云 (HDCAM),日本,永井聪,妻夫木聪，北川景子，丰川悦司,2014-06-19 18:30:00.000,上海影城,二厅
YC2165    ,想要拥抱你,日本,盐田明彦,北川景子，上地雄辅,2014-06-16 18:30:00.000,上海影城,二厅
YC2193    ,外交秘闻,法国,沃尔克·施隆多夫, 安德烈·杜索里埃 ， 尼尔斯·阿莱斯楚普,2014-06-19 13:30:00.000,上海影城,二厅
YC2184    ,瓦西里撒,俄罗斯,安东·希维斯,斯维特拉纳·库德钦科娃，德米特里·索罗米钦，杰罗姆·库辛,2014-06-18 15:45:00.000,上海影城,二厅
YC2183    ,雪,伊朗,迈赫迪·拉赫马尼,,2014-06-18 13:30:00.000,上海影城,二厅
YC2175    ,自私的巨人,英国,克里欧·巴纳德,康纳·查普曼，舍恩·托马斯,2014-06-17 18:30:00.000,上海影城,二厅
YC2174    ,五彩神箭,中国,万玛 才旦,仁青顿珠 ，索郎尼马 ， 多布杰,2014-06-17 15:45:00.000,上海影城,二厅
YC2223    ,蜡笔小新 决一胜负！逆袭的机器人爸爸(HDCAM),日本,高桥涉,配音：矢岛晶子，楢桥美纪，藤原启治,2014-06-22 13:30:00.000,上海影城,二厅
YC2163    ,蚁族与明星,孟加拉国,穆斯塔法·萨瓦尔·法罗奇,,2014-06-16 13:30:00.000,上海影城,二厅
